word,pos
Weasleys,NOUN
approached,VERB
refereed,VERB
blow,NOUN
worry,NOUN
speechless,ADJ
Funny,ADJ
showing,VERB
leaning,VERB
perfect,ADJ
Erised,NOUN
turnin,NOUN
bonus,NOUN
collar,NOUN
thousands,NOUN
master,NOUN
dreading,VERB
pleased,VERB
pattern,NOUN
Oddment,NOUN
Four,NUM
working,VERB
hotly,ADV
Peering,VERB
lost,VERB
sizzling,VERB
rocketed,VERB
early,ADJ
trailing,VERB
shut,VERB
positively,ADV
swaggered,VERB
Forgetfulness,NOUN
puddin,NOUN
wild-looking,ADJ
also,ADV
Unless,ADP
entered,VERB
squeal,NOUN
cut,VERB
silver,ADV
twins,NOUN
trifle,NOUN
notes,NOUN
Filch,NOUN
postman,NOUN
round-faced,ADJ
mentioned,VERB
evening,NOUN
baggy,NOUN
paint,NOUN
happily,ADV
angel,NOUN
lingering,VERB
face,VERB
Er,NOUN
Grounds,NOUN
Fat,NOUN
marched,VERB
Thanksss,NOUN
chess,NOUN
means,VERB
SILENCE,X
relation,NOUN
aside,ADV
clever,ADJ
-the,NOUN
unwrap,ADP
returned,VERB
zombie,NOUN
hundred,NOUN
bushy,ADJ
Off,ADP
minds,NOUN
rocket,NOUN
school,NOUN
Bertie,NOUN
ERISED,NOUN
helicopters,NOUN
candy,NOUN
slightest,ADJ
p-p-poor,ADJ
collected,VERB
foolish,NOUN
Recent,NOUN
careless,ADJ
trousers,NOUN
checkmate,VERB
You-Know-What,NOUN
liked,VERB
LETTERS,NOUN
boredom,NOUN
holly,ADV
rat,NOUN
wristwatch,NOUN
figure,NOUN
thanks,NOUN
hobby,NOUN
twisted,ADJ
clinging,VERB
fer,VERB
holidays,NOUN
swig,NOUN
Shouldn'ta,NOUN
why,ADV
flick,NOUN
steep,ADJ
tellin,ADJ
outside,NOUN
teachers,NOUN
chicken,NOUN
dates,NOUN
lit,NOUN
whole,NOUN
Ronan,NOUN
deadly,ADV
logic,ADJ
door,NOUN
weekly,ADJ
pairs,NOUN
letter,NOUN
replied,VERB
past,ADP
pouch,ADJ
basics,NOUN
improve,VERB
send,VERB
falling,VERB
Up,NOUN
back,VERB
drawing,VERB
Forgive,NUM
wit,NOUN
choice,NOUN
patting,VERB
Except,NOUN
found,VERB
Yes,VERB
closer'n,NOUN
owls,ADJ
presents,NOUN
Young,NOUN
neatly,ADV
ruddy,ADJ
imprecise,ADJ
yeh,ADP
cast,VERB
Hags,NOUN
FOUR,NUM
Vault,NOUN
utter,ADJ
cloak,NOUN
pages,NOUN
flagged,ADJ
OF,ADP
Tying,NOUN
removed,VERB
music,NOUN
flanked,VERB
Very,NOUN
hardly,ADV
instant,NOUN
noise,NOUN
hatred,ADJ
sardine,NOUN
gaps,NOUN
home,NOUN
frightening,VERB
flicked,VERB
tyke,NOUN
red,ADJ
Revenges,NOUN
swish,ADJ
up,ADJ
leading,VERB
gargoyles,NOUN
truthful,ADJ
delight,NOUN
remote,NOUN
spear,VERB
chase,NOUN
amigo,NOUN
gloves,NOUN
straight,ADV
Sending,VERB
hide,NOUN
veins,NOUN
'Jordan,NUM
Studying,VERB
hissing,VERB
Ministry,NOUN
hurrying,VERB
tear-streaked,ADJ
F,NOUN
IT,NOUN
wrong,ADV
twin,NOUN
stretch,VERB
keys,NOUN
nice,ADJ
disappeared,VERB
right,ADJ
-lessons,NOUN
poisonous,ADJ
31,NUM
pate,NOUN
Madam,NOUN
behind,ADP
Adrian,ADJ
nettle,ADJ
stumbling,VERB
chessboard,NOUN
tunnel,NOUN
Their,PRON
flow,NOUN
gold,ADJ
Snape,VERB
hurt,NOUN
amazed,ADJ
RAVENCLAW,X
though,ADV
attract,VERB
will,VERB
SIXTEEN,NOUN
Have,VERB
Getting,VERB
frying,VERB
floating,VERB
Ravenclaw,NOUN
dratted,ADJ
shone,NOUN
dormitories,NOUN
raw,ADJ
come,ADJ
Enid,NOUN
Bin,NOUN
boat,NOUN
flaming,VERB
grounds,NOUN
us,PRON
tone,NOUN
own,ADJ
balls,VERB
stamp,NOUN
owl,NOUN
pink,ADJ
burn,VERB
indoors,NOUN
gibber,VERB
dashing,VERB
willing,ADJ
sighed,VERB
studyin,ADJ
knack,NOUN
peered,VERB
horns,NOUN
biased,ADJ
poor,ADJ
firecracker,NOUN
boiling,VERB
recent,ADJ
frowning,VERB
joking,VERB
cold,NOUN
sobbed,VERB
softest,ADJ
Find,VERB
warm,NOUN
crash,NOUN
Friday,NOUN
want,VERB
jot,NOUN
much,ADV
nastily,ADV
mossy,NOUN
mightn,NOUN
tonight,NOUN
late,ADV
furor,NOUN
whimper,NOUN
usually,ADV
Gred,NOUN
N'T,NOUN
somethin,NOUN
pocket,NOUN
bin,NOUN
FRONT-,NOUN
glittered,VERB
onto,ADP
Still,ADV
ONE,NUM
kettle,NOUN
cleared,VERB
exercise,NOUN
enjoying,VERB
approve,VERB
MOTORCYCLES,NOUN
Ever,ADV
Confuse,ADP
leap,NOUN
knuckles,NOUN
gripped,VERB
clinking,NOUN
rubber,NOUN
Harder,ADJ
duster,NOUN
buried,VERB
spat,NOUN
However,ADV
pea-brain,NOUN
nor,CONJ
Because,ADP
hole,NOUN
yehve,VERB
pulling,VERB
croaked,VERB
rebellions,NOUN
midst,NOUN
engine,NOUN
kinda,ADJ
Hagrid,PRT
room,NOUN
bloke,VERB
frightened,ADJ
blood,NOUN
underneath,NOUN
Hmmm,NOUN
Brilliant,ADJ
't,PRT
old-fashioned,ADJ
ever,ADV
Blacks,NOUN
gotten,VERB
finest,ADJ
agreed,VERB
eat,VERB
Leg-Locker,NOUN
hat,NOUN
Justin,NOUN
cornflakes,NOUN
Morgana,NOUN
cloaked,ADJ
sickle,NOUN
coldly,ADV
weave,VERB
join,VERB
lent,NOUN
Term,NOUN
yawning,NOUN
realizing,VERB
lot,NOUN
couldn,VERB
Pasties,NOUN
