word,pos
Toby,NOUN
approached,VERB
blow,NOUN
appealing,VERB
worry,NOUN
wisdom,NOUN
perturbed,ADJ
log-shape,NOUN
mighty,ADJ
wisps,NOUN
leaning,VERB
showing,VERB
beware_,NOUN
flesh,NOUN
drier,ADJ
perfect,ADJ
doubts,NOUN
avail,NOUN
puzzled,VERB
descending,VERB
collar,NOUN
thousands,NOUN
liable,ADJ
master,NOUN
Downs,NOUN
come_,VERB
specks,VERB
dreading,VERB
dull,ADV
pattern,NOUN
pondering,VERB
'At,PRT
Four,NUM
working,VERB
harm,VERB
lost,VERB
Peering,VERB
Otherworld,NOUN
omitted,VERB
'that,PRON
cordial,NOUN
coil,NOUN
chill,NOUN
jolts,NOUN
habits,NOUN
squawk,NOUN
disposed,VERB
Pilgrim,NOUN
'To,PRT
drown,VERB
_they_claimed,VERB
mallorn-trees,NOUN
scrupulous,ADJ
early,ADJ
unsettled,VERB
tendency,NOUN
sight,VERB
frothing,VERB
trailing,VERB
ever-moving,ADJ
shut,VERB
hand-bell,NOUN
consent,NOUN
positively,ADV
steer,VERB
whiter,ADJ
'He,NOUN
quest,ADJ
also,ADV
Unless,ADP
entered,VERB
cut,VERB
silver,ADV
understanding,ADJ
hilly,ADV
edro,NOUN
thinner,ADV
quavering,ADJ
'Try,ADJ
trifle,NOUN
notes,NOUN
Bofur,NOUN
'Who,CONJ
wheels,NOUN
elanor,NOUN
postman,NOUN
walks,NOUN
camping,ADJ
laugh,ADV
dejected,ADJ
Stronger,ADJ
midmost,NOUN
untroubling,NOUN
upon,ADJ
strips,NOUN
mentioned,VERB
evening,NOUN
hospitable,ADJ
'Him,.
'With,CONJ
Sandyman,NOUN
sevenfold,NOUN
happily,ADV
event,NOUN
face,VERB
aearon,NOUN
anvil,ADJ
wind,VERB
Good-bye,NOUN
marched,VERB
ago_,ADV
heartily,ADV
clop-clop._,ADJ
means,VERB
clefts,NOUN
_smials,NOUN
relation,NOUN
'Such,ADJ
shards,NOUN
aside,ADV
clever,ADJ
doubtful,ADJ
chalcedony,NOUN
'To,VERB
returned,VERB
Norbury,NOUN
bushy,ADJ
stiff,NOUN
fifth,ADJ
Off,ADP
minds,NOUN
fox,NOUN
undulávë,ADJ
hideous,ADJ
greenish,ADJ
Away,ADV
offence,NOUN
school,NOUN
Thráin,VERB
glen,NOUN
vessel,NOUN
elf-speech,ADJ
charming,NOUN
meddled,VERB
collected,VERB
lakeside,NOUN
inherited,VERB
remarkable,ADJ
gully,ADV
withered,ADJ
there-and-back,ADJ
1147,NUM
careless,ADJ
cloud-veiled,ADJ
hunting,NOUN
_came,NOUN
sites,NOUN
Wood-elves,NOUN
liked,VERB
loaf,NOUN
chisel,ADJ
holly,ADV
peeping,NOUN
64,NUM
yonder,VERB
treason,NOUN
figure,NOUN
thanks,NOUN
waybread,NOUN
threatening,NOUN
twisted,ADJ
'And,.
clinging,VERB
'His,ADJ
good,VERB
postmen,NOUN
blemish,NOUN
creaking,NOUN
_could_,VERB
why,ADV
'Or,.
yon,ADJ
riding,NOUN
flick,NOUN
steep,ADJ
queerness,NOUN
dates,NOUN
outside,NOUN
teachers,NOUN
grasses,NOUN
lit,NOUN
whole,NOUN
delved,VERB
deadly,ADV
slender,NOUN
door,NOUN
mustering,NOUN
waists,NOUN
1420-1,NOUN
pairs,NOUN
bolster,NOUN
letter,NOUN
replied,VERB
ilyë,NOUN
past,ADP
serves,VERB
official,ADJ
pouch,ADJ
frontier,NOUN
yassen,ADP
send,VERB
falling,VERB
improve,VERB
'Sharp,.
_Never,NOUN
'Then,ADP
costs,NOUN
Up,NOUN
back,VERB
drawing,VERB
_The,NOUN
riding-ponies,NOUN
hatchet,NOUN
wit,NOUN
linden-tree,ADJ
choice,NOUN
Breath,NOUN
1462,NUM
unto,ADJ
multiplying,NOUN
residence,NOUN
found,VERB
mithril-coat,NOUN
fancied,VERB
shutters,NOUN
Yes,VERB
divides,VERB
combined,VERB
allows,NOUN
learn,ADJ
presents,NOUN
Young,NOUN
'Just,.
essays,VERB
neatly,ADV
cast,VERB
Nimrodel,NOUN
Enough,ADV
resolved,VERB
wail,NOUN
approving,VERB
unreason,NOUN
Brandybuck,NOUN
nest,NOUN
quickened,VERB
Day,NOUN
Homely,NOUN
bedside,NOUN
cloak,NOUN
pages,NOUN
OF,ADP
ride,ADV
foreseen,NOUN
Wielding,VERB
removed,VERB
music,NOUN
Found,ADP
crevices,NOUN
hardly,ADV
Brandy,NOUN
insult,NOUN
instant,NOUN
_sun,NOUN
signatures,NOUN
noise,NOUN
hatred,ADJ
holly-trees,NOUN
countless,NOUN
Messengers,NOUN
combat,NOUN
assortment,NOUN
wither,NOUN
holly-bush,NOUN
home,NOUN
waxed,VERB
tunnel-gate,ADJ
described,VERB
accord,NOUN
coiling,VERB
Giants,NOUN
red,ADJ
Midgewater,NOUN
well-trodden,ADJ
halting,VERB
swirling,ADJ
swish,ADJ
_cram_,NOUN
leading,VERB
disturber,NOUN
fitting,ADJ
delight,NOUN
chase,NOUN
Shire-hobbits,ADJ
'Farewell,X
'If,PRT
Warning,VERB
_Óin,VERB
gloves,NOUN
orcs,NOUN
FEAR,NOUN
Ringwraiths,NOUN
